,code,name,times_4,net40,net41
481,000716,黑芝麻,-6.61,-246.97,1631.61
482,000710,*ST天仪,-3.51,119.29,-418.59
483,000682,东方电子,53.57,111.5,5972.58
484,000673,当代东方,-4.08,-4348.53,17747.05
485,000636,风华高科,3.28,4233.43,13890.61
486,000558,莱茵体育,2.09,1207.97,2519.22
487,000526,*ST紫学,-79.72,123.79,-9868.32
488,000408,*ST金源,44.05,2069.89,91180.98
489,000063,中兴通讯,-2.92,80735.3,-235741.8
490,000040,东旭蓝天,14.37,1220.23,17537.95
491,000034,神州数码,136.62,295.57,40379.52
492,000032,深桑达Ａ,1.47,4131.81,6071.29
493,000029,深深房Ａ,16.18,1925.95,31156.74
494,000008,神州高铁,-297.17,-175.61,52186.62
495,000007,全新好,-0.85,-9152.34,7801.9
496,000004,国农科技,63.41,61.98,3929.93
497,600459,贵研铂业,2.55,3249.79,8302.06
498,601088,中国神华,1.38,1643600.0,2271200.0
499,600584,长电科技,1.18,9025.43,10633.44
500,600172,黄河旋风,6.55,5645.52,36965.7
501,600325,华发股份,7.16,14225.55,101838.19
502,600666,奥瑞德,45.24,1028.64,46531.88
503,002150,通润装备,2.36,4200.14,9932.96
504,002131,利欧股份,15.56,3670.76,57101.18
505,000062,深圳华强,5.1,8354.68,42586.09
506,002300,太阳电缆,2.29,6785.04,15533.08
507,600641,万业企业,5.0,14370.37,71842.21
508,601628,中国人寿,1.99,960100.0,1912700.0
509,600483,福能股份,103.65,978.91,101460.43
510,002024,苏宁云商,0.98,72030.01,70441.4
511,600885,宏发股份,-8.42,-6911.94,58176.85
512,002114,罗平锌电,0.96,8603.65,8291.35
513,300027,华谊兄弟,34.3,2356.41,80813.4
514,601688,华泰证券,7.48,83805.53,627061.15
515,000776,广发证券,717.27,1119.53,803010.66
516,600999,招商证券,5.19,104081.19,540345.06
517,000739,普洛药业,5.06,5195.68,26289.71
518,002208,合肥城建,1.62,6705.76,10875.94
519,002244,滨江集团,6.87,20357.63,139880.7
520,002153,石基信息,6.77,5739.1,38879.03
521,600843,上工申贝,29.48,489.31,14423.13
522,000987,越秀金控,4.39,14118.39,62049.58
523,000639,西王食品,17.24,781.87,13481.51
524,600493,凤竹纺织,1.17,4828.19,5642.09
525,600369,西南证券,-7.5,-12239.63,91757.27
526,600052,浙江广厦,-1.4,-25520.76,35747.56
527,300033,同花顺,140.38,863.07,121157.67
528,600028,中国石化,0.92,5066400.0,4641600.0
529,600035,楚天高速,1.51,25899.76,39045.66
530,300041,回天新材,3.68,2637.56,9703.92
531,600101,明星电力,-0.41,-20164.47,8353.91
532,000993,闽东电力,0.81,3232.86,2633.05
533,600508,上海能源,1.01,44711.74,45166.86
534,000978,桂林旅游,0.17,4428.38,738.78
535,600163,中闽能源,9.04,1166.6,10547.85
536,002056,横店东磁,3.4,12974.25,44118.38
537,002086,东方海洋,2.41,3179.66,7661.71
538,000541,佛山照明,4.52,23747.29,107234.21
539,002344,海宁皮城,15.5,3548.08,54998.82
540,600882,广泽股份,2.21,1458.03,3221.01
541,002228,合兴包装,5.07,2029.44,10293.65
542,000626,远大控股,391.02,99.98,39093.82
543,600103,青山纸业,4.06,1109.2,4498.85
544,600039,四川路桥,82.39,1267.8,104455.26
545,002022,科华生物,3.12,7457.62,23240.05
546,002250,联化科技,4.57,5771.67,26385.21
547,601398,工商银行,5.71,4871900.0,27824900.0
548,600192,长城电工,0.79,2825.99,2231.5
549,300043,星辉娱乐,67.9,674.54,45802.77
550,000807,云铝股份,0.35,31279.83,11052.95
551,600736,苏州高新,2.11,14528.25,30711.28
